Epoca,Loss_Train,Accuracy_Train,Loss_Test,Accuracy_Test
1,1.6044,38.6,1.2623,48.02
2,1.2251,53.54,1.1204,55.73
3,1.0383,63.12,1.195,52.17
4,0.9129,67.54,0.9529,66.4
5,0.7591,72.63,0.9105,67.19
6,0.6204,78.49,0.9555,68.97
7,0.4754,83.23,0.9023,70.16
8,0.416,84.67,1.0301,66.8
9,0.378,87.12,0.9066,73.52
10,0.3095,89.72,0.9694,70.95
11,0.2944,90.0,1.0584,70.36
