Epoca,Loss_Train,Accuracy_Train,Loss_Test,Accuracy_Test
1,0.7626,72.46,1.3337,63.44
2,0.4329,85.02,0.6459,79.25
3,0.3144,88.98,0.7494,77.27
4,0.3355,88.42,0.6536,81.23
5,0.224,92.49,0.6162,79.64
6,0.142,95.05,0.637,82.61
7,0.1779,93.89,0.5598,83.99
8,0.2042,92.77,0.6743,80.63
9,0.143,95.02,1.2608,69.17
10,0.138,95.44,0.6471,82.41
11,0.1227,96.35,0.4152,86.56
12,0.1155,96.21,0.3991,87.35
13,0.1144,96.53,0.3933,88.34
14,0.1029,96.84,0.4191,86.56
15,0.0797,97.4,0.4279,86.17
