Epoca,Loss_Train,Accuracy_Train
1,0.3101,89.54
2,0.0599,98.34
3,0.0307,99.39
4,0.0362,99.09
5,0.0326,99.18
6,0.0145,99.59
7,0.0188,99.6
8,0.0288,99.16
9,0.0209,99.42
10,0.0213,99.36
